symbol,news
TR,[]
XZO,[]
IETC,[]
NANR,[]
NSIT,[]
QTRN,[]
DTEGY,[]
ISTB,[]
XLNX,[]
NUTX,[]
VGM,[]
ENSG,[]
RZG,[]
FSRCY,[]
BCR,[]
PKX,[]
NVEC,[]
VBK,[]
MYI,[]
AQEC,[]
RE,[]
GLPEY,[]
ACE,[]
PBEU,[]
ESGOF,[]
GPS,[]
BKRKY,[]
FLLA,[]
NATI,[]
DDS,[]
KIDS,[]
NULG,[]
KLDO,[]
NHYDY,[]
VSHY,[]
CHEF,[]
SAAQ,[]
DBVT,[]
AGN,[]
EDR,[]
NMCO,[]
HGLB,[]
FUPBY,[]
DLHC,[]
CCR,[]
RZB,[]
DWDP,[]
MFM,[]
IEDI,[]
UHT,[]
DQJCY,[]
COG,[]
TGS,[]
ICFI,[]
VMD,[]
CIK,[]
SECU,[]
FICO,[]
CTXS,[]
LOB,[]
HCKT,[]
TUSK,[]
DAVA,[]
PBCT,[]
JBSS,[]
CST,[]
GOEX,[]
MJN,[]
TYC,[]
SFTX,[]
JEC,[]
INFU,[]
IEAG,[]
EBKDY,[]
CAA,[]
TRAK,[]
GDEN,[]
JMM,[]
ESTA,[]
PNTG,[]
GHY,[]
RHEP,[]
MIGO,[]
BWAY,[]
PDCE,[]
CIVI,[]
ESRX,[]
IQDF,[]
IIVI,[]
TCO,[]
HQH,[]
VMI,[]
WCG,[]
ILPT,[]
AMUB,[]
LO,[]
HPH,[]
EWUS,[]
CCP,[]
RFDI,[]
KELYA,[]
ARNC,[]
NMIH,[]
BEAV,[]
ILLU,[]
LNCE,[]
BLOK,[]
ALRM,[]
FTR,[]
CACI,[]
HOCPY,[]
VAMO,[]
TKOMY,[]
TBC,[]
BIVV,[]
QLTA,[]
PSF,[]
TMCR,[]
POWR,[]
FLSW,[]
CSAL,[]
PSCT,[]
CY,[]
FMNB,[]
SAMG,[]
TTDKY,[]
SXT,[]
EV,[]
ACA,[]
STOR,[]
HSNI,[]
DGICA,[]
BCPL,[]
LSI,[]
NYX,[]
SBXE,[]
COKE,[]
PDEC,[]
VSMV,[]
GRN,[]
NVGS,[]
BXLT,[]
GWR,[]
HSP,[]
LINC,[]
BDC,[]
PRT,[]
DEW,[]
SRC,[]
LMB,[]
SBB,[]
OPHC,[]
PWS,[]
ENFY,[]
CVG,[]
GENNQ,[]
AMED,[]
TSS,[]
ANGO,[]
CLBR,[]
PLXS,[]
CPWR,[]
IPWR,[]
TLTD,[]
WRI,[]
VCX,[]
IRMD,[]
JOYG,[]
XLS,[]
PRAH,[]
TFIN,[]
KMTUY,[]
ASUR,[]
CFX,[]
CTJHY,[]
SAI,[]
DJD,[]
MHF,[]
CA,[]
PNBK,[]
FCTR,[]
GJO,[]
CEW,[]
CLPS,[]
STR,[]
WPX,[]
PXI,[]
ELLO,[]
MENT,[]
KBON,[]
SAFM,[]
RVBD,[]
BJUN,[]
ERIE,[]
ACC,[]
CHS,[]
SD,[]
MAURY,[]
HNT,[]
Y,[]
SIXG,[]
DY,[]
GENZ,[]
ARGX,[]
PERI,[]
USMF,[]
TIF,[]
KOCT,[]
MFE,[]
CVC,[]
CMD,[]
DLX,[]
CXO,[]
NABZY,[]
PTV,[]
GABC,[]
ACGLO,[]
BTZ,[]
RIGS,[]
NGVT,[]
BLLN,[]
ROCK,[]
SHEN,[]
ITOCY,[]
LTC,[]
SREA,[]
DWM,[]
XBIT,[]
INFIQ,[]
ANDG,[]
MDP,[]
GTOP,[]
BRAI,[]
BCSS,[]
MEE,[]
MSBI,[]
UNICY,[]
NSR,[]
SUB,[]
UTMD,[]
GASS,[]
LZAGY,[]
PBUS,[]
RBC,[]
ATMP,[]
GNCAQ,[]
PSL,[]
HLS,[]
MIME,[]
RNGT,[]
PCH,[]
TEG,[]
TVE,[]
PIE,[]
MCS,[]
NCC,[]
VAR,[]
SBR,[]
CZFS,[]
UAN,[]
DCT,[]
GLBZ,[]
BBCQ,[]
EMQQ,[]
LPNT,[]
FHLC,[]
APYX,[]
MLPI,[]
DSDVY,[]
MNDO,[]
PDS,[]
FXO,[]
EONGY,[]
CSC,[]
TELA,[]
PRTC,[]
ATVI,[]
ALTM,[]
BID,[]
TREE,[]
VSTO,[]
ALXN,[]
MLPB,[]
ADS,[]
BKMI,[]
XHS,[]
NVLS,[]
OA,[]
CAB,[]
NBL,[]
MIK,[]
PTH,[]
PETM,[]
TCF,[]
IACO,[]
MWW,[]
FCS,[]
GIX,[]
ECF,[]
PCL,[]
OMX,[]
TMVE,[]
TX,[]
FET,[]
IDTI,[]
FEIC,[]
DYAI,[]
COL,[]
SVIV,[]
DUKB,[]
BRC,[]
RGA,[]
INKM,[]
HKXCY,[]
TRB,[]
SRCL,[]
DGRE,[]
EP,[]
III,[]
VHCP,[]
VOC,[]
DWA,[]
ZURVY,[]
BIO,[]
PSEP,[]
TCBK,[]
EIKN,[]
MARPS,[]
WWAV,[]
TRMK,[]
FSS,[]
XTO,[]
FCRS,[]
INSE,[]
SQS,[]
FITBO,[]
SOJC,[]
NOEQ,[]
AN,[]
NOVL,[]
EMP,[]
BHV,[]
REVS,[]
FORTY,[]
KRYS,[]
JOY,[]
CQP,[]
DOL,[]
OIM,[]
BACHY,[]
PSCH,[]
CIX,[]
DTV,[]
DFS,[]
DISCK,[]
PRK,[]
MITSY,[]
TIME,[]
PVTB,[]
GRNJ,[]
RRD,[]
MLAB,[]
BDRLQ,[]
SCM,[]
SMOG,[]
MEVO,[]
SAH,[]
MBIN,[]
DNKN,[]
MHH,[]
FFA,[]
RWO,[]
PRXL,[]
CDK,[]
YUMAQ,[]
PXE,[]
CEPV,[]
MTX,[]
LLYVK,[]
VMET,[]
PKBK,[]
RCMT,[]
OSIS,[]
BWLD,[]
MBGYY,[]
FIX,[]
LOOP,[]
CVH,[]
GHM,[]
PCF,[]
HDMV,[]
JSM,[]
APPF,[]
BHR,[]
AHL,[]
TRUP,[]
GMTL,[]
SIEGY,[]
CERN,[]
FCN,[]
FYBR,[]
KFFB,[]
UFS,[]
CUBI,[]
TSO,[]
CPYYY,[]
JDSU,[]
MGEE,[]
ALRS,[]
CRMT,[]
CYT,[]
CHCO,[]
FNWB,[]
BGSI,[]
CMSD,[]
ABMD,[]
IXJ,[]
KWR,[]
CMRE,[]
DPG,[]
CLECO,[]
RAD,[]
GLOO,[]
DNB,[]
ALTR,[]
HVRRY,[]
STXS,[]
GYLD,[]
SSMXY,[]
EMTY,[]
WFG,[]
LM,[]
SUSC,[]
GRA,[]
INGN,[]
FPF,[]
AOL,[]
DF,[]
PROF,[]
KYN,[]
CVSA,[]
LPT,[]
EJPRY,[]
SWRAY,[]
SWDBY,[]
GSEU,[]
TDIV,[]
SRNE,[]
THS,[]
LAD,[]
PBYI,[]
REZ,[]
KNYJY,[]
HIX,[]
TWTR,[]
THG,[]
XCEM,[]
BGIN,[]
AMKBY,[]
BDCZ,[]
KDDIY,[]
MRBK,[]
UAPR,[]
NUCL,[]
TBI,[]
KGRN,[]
APC,[]
TCBI,[]
BVILY,[]
XT,[]
BHE,[]
FRC,[]
PUI,[]
STN,[]
RONB,[]
MODG,[]
MMU,[]
TMSNY,[]
AX,[]
NSM,[]
JOE,[]
SYNE,[]
RMNI,[]
ARLP,[]
SXI,[]
KRMD,[]
DSAC,[]
FSMD,[]
TBRG,[]
SLE,[]
LUK,[]
DNR,[]
EWX,[]
SJT,[]
WGL,[]
MON,[]
DGICB,[]
ALE,[]
CKHUY,[]
EPHE,[]
SPXE,[]
SKHHY,[]
HFC,[]
ADDYY,[]
HGKGY,[]
CMCSK,[]
QTUM,[]
SVNDY,[]
CBU,[]
BOH,[]
BJS,[]
DJ,[]
GHC,[]
KNSL,[]
SNV,[]
RCII,[]
NCR,[]
WIN,[]
STOT,[]
EWQ,[]
VTHR,[]
EVN,[]
INFO,[]
PPS,[]
ORKLY,[]
GUSE,[]
GDV,[]
SIVB,[]
SIF,[]
IQDG,[]
CTTAY,[]
FAN,[]
DCO,[]
CLMB,[]
DBSDY,[]
HSTM,[]
STL,[]
ICOW,[]
HNZ,[]
APXT,[]
BGMSP,[]
OVF,[]
INMB,[]
APY,[]
EVTC,[]
VIOO,[]
FEM,[]
CLOU,[]
LIFE,[]
KPCPY,[]
GXP,[]
CMII,[]
MRAAY,[]
ECON,[]
VTC,[]
VACI,[]
CSLLY,[]
X,[]
RWR,[]
MNK,[]
ZTR,[]
MEAR,[]
HTA,[]
CHX,[]
PW,[]
ARCI,[]
ABK,[]
FMER,[]
AZPN,[]
KRFT,[]
BHI,[]
VEGA,[]
BERY,[]
PSB,[]
ENS,[]
MGPI,[]
OMI,[]
LECO,[]
JCP,[]
KG,[]
MEDP,[]
ROSC,[]
MCHB,[]
BELFA,[]
CIZN,[]
CPF,[]
RMBI,[]
PWCDF,[]
FBHS,[]
DBE,[]
IDCC,[]
SBL,[]
ONEXF,[]
CTX,[]
TRAX,[]
MXC,[]
DISH,[]
FENC,[]
CNOB,[]
PRFZ,[]
NYM,[]
GLK,[]
OFS,[]
AEAQ,[]
FLIR,[]
DLNG,[]
MOLX,[]
CUT,[]
SYNH,[]
SFYF,[]
IFLN,[]
SLH,[]
SBNY,[]
PRLB,[]
CHI,[]
XTNT,[]
LLYVA,[]
PACW,[]
SPFI,[]
AACI,[]
UGE,[]
AET,[]
PATK,[]
SCSC,[]
LEH,[]
BMOP,[]
IDN,[]
CEB,[]
DKL,[]
KORS,[]
NLR,[]
CFC,[]
AGX,[]
BRCM,[]
BWEN,[]
ATW,[]
GOTU,[]
CRAN,[]
FNFG,[]
OTTR,[]
KOF,[]
MXIM,[]
FSI,[]
FCBC,[]
SCG,[]
SWI,[]
CTSO,[]
VSM,[]
KORP,[]
TPICQ,[]
HNG,[]
XAR,[]
DMLP,[]
ILG,[]
FRHLF,[]
AMSG,[]
ILCB,[]
EGRX,[]
HVT,[]
SPIEQ,[]
WRLD,[]
AZZ,[]
NFX,[]
SUNC,[]
EVOX,[]
QCP,[]
ALUB,[]
BRES,[]
MBFI,[]
GNE,[]
SPN,[]
SIRO,[]
EIG,[]
USL,[]
NUVA,[]
TSG,[]
CTS,[]
RHT,[]
CEFS,[]
TOLZ,[]
PCP,[]
FPEI,[]
SUSB,[]
GRUB,[]
CSUAY,[]
RAX,[]
FJTSY,[]
PGN,[]
SCANA,[]
NVR,[]
SIAL,[]
PNRG,[]
THFF,[]
KAOOY,[]
AVP,[]
STI,[]
SGP,[]
CAPL,[]
EAD,[]
EGAN,[]
CDL,[]
RTN,[]
HES,[]
FISI,[]
IYM,[]
FRCHL,[]
AGYS,[]
NLSN,[]
TWX,[]
FOF,[]
WBA,[]
SSD,[]
CLB,[]
LII,[]
EMLP,[]
HIPO,[]
TCMD,[]
IFNNY,[]
AYI,[]
UMICY,[]
ERI,[]
OTLY,[]
OCIO,[]
HLAL,[]
NNVC,[]
GEL,[]
XMVM,[]
AGZ,[]
SVNLY,[]
GJT,[]
GRWG,[]
XBOX,[]
AVTM,[]
SGMS,[]
AJNMY,[]
PHIN,[]
IPO,[]
VIAB,[]
SDHC,[]
WOR,[]
SORN,[]
NVZMY,[]
CAM,[]
RNGR,[]
KRAQ,[]
PESI,[]
THW,[]
CIT,[]
EVX,[]
SPXCY,[]
GF,[]
SWY,[]
LEGR,[]
WETF,[]
MBIA,[]
LKFN,[]
KRSP,[]
HCIC,[]
ETD,[]
CMPR,[]
IDE,[]
ANIK,[]
ATML,[]
AGMB,[]
RHHBY,[]
ACWX,[]
MVBF,[]
EPM,[]
COO,[]
SUBCY,[]
SARO,[]
ES,[]
PRSP,[]
ATEC,[]
CCOJY,[]
CZR,[]
BA,[]
SCHO,[]
SRG,[]
BUSE,[]
SZNE,[]
ELMT,[]
PI,[]
FLGT,[]
WLTW,[]
K,[]
BUD,[]
CDAY,[]
GLPG,[]
TMST,[]
EL,[]
UTHR,[]
LDW,[]
COLM,[]
SNDR,[]
ZBRA,[]
MANH,[]
CGC,[]
CWH,[]
EME,[]
IESC,[]
PLL,[]
COST,[]
ZKPU,[]
PXD,[]
TPVG,[]
OSUR,[]
NNY,[]
ESS,[]
IWM,[]
TDY,[]
BLX,[]
ACAA,[]
LFAC,[]
CVS,[]
HFWA,[]
CSRA,[]
OXBRW,[]
TER,[]
KHC,[]
MSC,[]
UMH,[]
ACES,[]
IX,[]
LOUP,[]
FOX,[]
NDSN,[]
LHO,[]
TXRH,[]
CHTR,[]
RELX,[]
UNIT,[]
XHE,[]
IQ,[]
MTD,[]
MKSI,[]
ETHB,[]
KEY,[]
AACO,[]
INFY,[]
MDC,[]
AKTS,[]
PRN,[]
NRG,[]
CFN,[]
GEHC,[]
CASY,[]
DK,[]
ELME,[]
STLD,[]
AGBK,[]
KLRA,[]
HPI,[]
AVY,[]
PFE,[]
BLK,[]
WES,[]
CW,[]
OI,[]
MIELY,[]
CPSH,[]
ALKT,[]
MYN,[]
CEPH,[]
KOS,[]
URI,[]
WEX,[]
DWSH,[]
GBFH,[]
WFRD,[]
RKLB,[]
VVC,[]
BIV,[]
VMO,[]
BMY,[]
WRAP,[]
KO,[]
CERS,[]
LEGO,[]
COV,[]
AMG,[]
CNC,[]
LHCG,[]
MC,[]
SSEZY,[]
UPWK,[]
CGW,[]
AMS,[]
DRE,[]
LADR,[]
DLTR,[]
TWC,[]
SRTS,[]
FULT,[]
TSEM,[]
INT,[]
WY,[]
HRS,[]
BWIN,[]
ALK,[]
BBHL,[]
CG,[]
LMAT,[]
RBA,[]
SATS,[]
WW,[]
DSGN,[]
SOHU,[]
MFLX,[]
BTX,[]
KMDA,[]
BKR,[]
EMD,[]
BALL,[]
CLPR,[]
KEQU,[]
ROST,[]
FTNT,[]
SO,[]
CHMI,[]
BAESY,[]
PBW,[]
NWS,[]
ARRS,[]
CCMP,[]
S,[]
ENFR,[]
ADAPY,[]
CNM,[]
TAP,[]
EFZ,[]
TDW,[]
OLED,[]
CTVA,[]
CVEO,[]
PNW,[]
RVTY,[]
COMT,[]
ALKS,[]
XEC,[]
BWA,[]
MDT,[]
PLMR,[]
CMPGY,[]
CMA,[]
KYOCY,[]
TDG,[]
TREX,[]
BROS,[]
BURL,[]
MLAA,[]
ALYAF,[]
GALT,[]
SSYS,[]
NOCT,[]
EWJV,[]
BLZR,[]
WAFU,[]
ASIC,[]
VKTX,[]
SMSGY,[]
WLP,[]
WST,[]
DLR,[]
HACQ,[]
ACIW,[]
MATW,[]
VRTX,[]
KFRC,[]
JLL,[]
JWN,[]
EOG,[]
ED,[]
CDNS,[]
RIO,[]
MTG,[]
AEM,[]
URA,[]
MITK,[]
OPPJ,[]
BMC,[]
BBG,[]
PK,[]
SOLS,[]
MTN,[]
ADI,[]
FRX,[]
DNL,[]
ICUI,[]
CHFC,[]
EG,[]
MG,[]
GLD,[]
PBH,[]
EQT,[]
OIA,[]
DMAC,[]
NOVT,[]
JAH,[]
ENPH,[]
EVRG,[]
OLLI,[]
SYK,[]
MIST,[]
RNP,[]
ARG,[]
CMSC,[]
AYE,[]
HOG,[]
HBI,[]
HLNE,[]
SOLV,[]
PCLN,[]
PHAT,[]
SDVKY,[]
ETR,[]
GDS,[]
AAOI,[]
HRC,[]
FXH,[]
MPT,[]
FLKR,[]
TOELY,[]
DPZ,[]
MCK,[]
FLT,[]
EQY,[]
DMII,[]
WMS,[]
SHOP,[]
PR,[]
MTR,[]
TLAB,[]
IMXI,[]
POWI,[]
SYF,[]
NXP,[]
FDEM,[]
WFR,[]
TGEN,[]
TECD,[]
ESGV,[]
PIPR,[]
IRT,[]
WING,[]
MZYX,[]
SOYB,[]
PDSB,[]
MIDU,[]
RSPH,[]
IYF,[]
ICMB,[]
SAC,[]
EEFT,[]
APP,[]
NBHC,[]
PSK,[]
CLC,[]
ERTH,[]
SPHB,[]
AXTA,[]
CPE,[]
RBLX,[]
KSE,[]
CABO,[]
YHOO,[]
PFFR,[]
WWE,[]
REFR,[]
SCHM,[]
EPSN,[]
EK,[]
LIVN,[]
BSBR,[]
IDOG,[]
FMC,[]
APH,[]
RDC,[]
HBM,[]
GTLS,[]
ASH,[]
AVGO,[]
PYPL,[]
CCNE,[]
OVM,[]
KLXI,[]
CSTM,[]
PFXF,[]
GR,[]
CTRE,[]
CDP,[]
REX,[]
TEX,[]
AIRC,[]
STNE,[]
SWN,[]
FENY,[]
BZUN,[]
ROL,[]
AIVL,[]
GRBK,[]
CCU,[]
QRVO,[]
STWD,[]
CTB,[]
SWAV,[]
CIEN,[]
SHV,[]
PVL,[]
EPC,[]
AZREF,[]
FATE,[]
FSR,[]
CSWC,[]
RLGY,[]
GPOR,[]
LLTC,[]
MMIN,[]
VVV,[]
PICS,[]
BS,[]
PFGC,[]
ELY,[]
TIE,[]
ARTC,[]
PNR,[]
DWMF,[]
EFOR,[]
MMYT,[]
SUN,[]
FVAV,[]
HTT,[]
CBZ,[]
RITM,[]
BLD,[]
LQDH,[]
TMFC,[]
TAK,[]
DALI,[]
BZH,[]
DBCA,[]
CNXC,[]
KD,[]
PCRX,[]
DSGR,[]
SII,[]
KBWY,[]
ISCA,[]
YETI,[]
MBI,[]
QLYS,[]
SBGI,[]
TCX,[]
CORB,[]
WDR,[]
AMGN,[]
NATH,[]
OAS,[]
EW,[]
TXG,[]
SPY,[]
GEV,[]
IR,[]
SAIL,[]
NEWTL,[]
SNAP,[]
FSLR,[]
GES,[]
BNTX,[]
AZN,[]
BCPC,[]
EDAP,[]
IM,[]
IPG,[]
BIIB,[]
NINE,[]
EXPE,[]
SCOR,[]
UNT,[]
JMIA,[]
MCY,[]
CHCI,[]
BSY,[]
WYN,[]
RHEPA,[]
SIMO,[]
ADAM,[]
LOPE,[]
RHP,[]
FII,[]
BKMS,[]
EZPW,[]
MLM,[]
TUP,[]
HSIC,[]
FMBH,[]
AWRE,[]
ITIC,[]
NAVN,[]
ASTE,[]
AMCX,[]
FPI,[]
MSEX,[]
NWPX,[]
COIN,[]
REG,[]
ACAS,[]
IJK,[]
XEL,[]
POM,[]
MDB,[]
CIBEY,[]
MDXG,[]
BMS,[]
PBPH,[]
DBX,[]
NVO,[]
CMP,[]
BRCD,[]
TBPH,[]
GWW,[]
VC,[]
CHK,[]
MMI,[]
NJR,[]
CLX,[]
PRGO,[]
DRQ,[]
DOCS,[]
AKS,[]
DVA,[]
HCBK,[]
AAEQ,[]
SSL,[]
PLCM,[]
GSBD,[]
AMSC,[]
UFPI,[]
DST,[]
PSEC,[]
SJB,[]
CODA,[]
KURE,[]
DNKEY,[]
CGAU,[]
MXI,[]
WCN,[]
VRNS,[]
FL,[]
DLPH,[]
CRI,[]
ATR,[]
TBCH,[]
AMRC,[]
VRSK,[]
PEP,[]
JBTM,[]
ALNY,[]
EQH,[]
CGNX,[]
CHRD,[]
VMC,[]
APLS,"[{'title': 'Apellis Pharmaceuticals, Inc. (APLS) Expected to Beat Earnings Estimates: Should You Buy?', 'publisher': 'Zacks', 'link': 'https://finance.yahoo.com/markets/stocks/articles/apellis-pharmaceuticals-inc-apls-expected-140027758.html', 'summary': 'Apellis Pharmaceuticals (APLS) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.', 'pub_date': '2026-04-29T14:00:27Z', 'formatted_date': '04-29-2026'}]"
PTC,[]
GOGO,[]
VCYT,[]
HLI,[]
NBIX,[]
ICHR,[]
AKAM,[]
YSS,[]
GDYN,[]
BXMT,"[{'title': 'Blackstone Mortgage Trust (BXMT) Tops Q1 Earnings and Revenue Estimates', 'publisher': 'Zacks', 'link': 'https://finance.yahoo.com/markets/stocks/articles/blackstone-mortgage-trust-bxmt-tops-122503813.html', 'summary': 'Blackstone Mortgage (BXMT) delivered earnings and revenue surprises of +30.08% and +0.04%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?', 'pub_date': '2026-04-29T12:25:03Z', 'formatted_date': '04-29-2026'}]"
MAT,[]
VIRT,[]
ONTO,[]
TEAM,[]
VYGR,[]
CAT,[]
ET,[]
WLK,[]
APD,[]
FTAI,"[{'title': 'Are Aerospace Stocks Lagging  FTAI Aviation Ltd. (FTAI) This Year?', 'publisher': 'Zacks', 'link': 'https://finance.yahoo.com/markets/stocks/articles/aerospace-stocks-lagging-ftai-aviation-134003945.html', 'summary': 'Here is how FTAI Aviation (FTAI) and Textron (TXT) have performed compared to their sector so far this year.', 'pub_date': '2026-04-29T13:40:03Z', 'formatted_date': '04-29-2026'}]"
PBI,[]
GRID,[]
MDLN,[]
PZZA,[]
BP,[]
WKC,[]
VICR,[]
CVI,[]
CCK,[]
MGY,"[{'title': 'Magnolia Oil & Gas Corp (MGY) Expected to Beat Earnings Estimates: Should You Buy?', 'publisher': 'Zacks', 'link': 'https://finance.yahoo.com/markets/stocks/articles/magnolia-oil-gas-corp-mgy-140021389.html', 'summary': 'Magnolia Oil & Gas Corp (MGY) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.', 'pub_date': '2026-04-29T14:00:21Z', 'formatted_date': '04-29-2026'}]"
BVN,[]
QFIN,[]
GTM,[]
LCID,[]
MLSS,[]
TOWN,[]
ALMR,[]
E,[]
MELI,[]
ISRG,"[{'title': ""Is ISRG's International Weakness a Temporary Drag or Structural Risk?"", 'publisher': 'Zacks', 'link': 'https://finance.yahoo.com/markets/stocks/articles/isrgs-international-weakness-temporary-drag-123100593.html', 'summary': 'Intuitive Surgical faces mixed international trends as China pressure and Japan delays cloud otherwise strong OUS growth outlook.', 'pub_date': '2026-04-29T12:31:00Z', 'formatted_date': '04-29-2026'}]"
NVDA,[]
SLAB,[]
TU,[]
AMRX,[]
EMXC,[]
RIOT,[]
YUM,[]
ZD,[]
UBSI,[]
